store_id	id	price	quantity
IDEALTRIX	1050-4	17,58	5
IDEALTRIX	1180-3	8	3
IDEALTRIX	78	15	30
IDEALTRIX	491	30,8	5
IDEALTRIX	606	29,9	4
IDEALTRIX	945	20	5
IDEALTRIX	1002	9,9	7
IDEALTRIX	1004	9,9	5
IDEALTRIX	1145	10,56	20
IDEALTRIX	1187	15	4
IDEALTRIX	1230	4	4
IDEALTRIX	1262	12	3
IDEALTRIX	1366	49,55	6
IDEALTRIX	1370	22	5
IDEALTRIX	1690	49,9	5
IDEALTRIX	1852	35	8
IDEALTRIX	1864	5,5	12
IDEALTRIX	1958	35,08	11
IDEALTRIX	2195	28,8	3
IDEALTRIX	2523	1,49	120
IDEALTRIX	2531	59,9	7
IDEALTRIX	2542	19,9	8
IDEALTRIX	2546	25	3
IDEALTRIX	2549	25	3
IDEALTRIX	2550	25	3
IDEALTRIX	2581	45	5
IDEALTRIX	2582	40	8
IDEALTRIX	2587	22	21
IDEALTRIX	3223	40	3
IDEALTRIX	3553	29,9	17
IDEALTRIX	4617	95	3
IDEALTRIX	4679	49,9	4
IDEALTRIX	4793	15	9
IDEALTRIX	4795	15	12
IDEALTRIX	5239	25	5
IDEALTRIX	5495	9,92	5
IDEALTRIX	10061	25	11
IDEALTRIX	10062	5,5	41
IDEALTRIX	10064	4,5	51
IDEALTRIX	10065	20	12
IDEALTRIX	10208	45	3
IDEALTRIX	10296	20	12
IDEALTRIX	10297	250	5
IDEALTRIX	10310	190	4
IDEALTRIX	14306	38,74	5
IDEALTRIX	15965	16,38	69
IDEALTRIX	16238	7,5	6
IDEALTRIX	18075	9,61	16
IDEALTRIX	21733	6,24	6
IDEALTRIX	22888	39	4
IDEALTRIX	24104	32	23
IDEALTRIX	25576	37,05	10
IDEALTRIX	25578	80	6
IDEALTRIX	25790	3,64	50
IDEALTRIX	26297	35	15
IDEALTRIX	26298	35	17
IDEALTRIX	27074	6,5	20
IDEALTRIX	28339	49,9	10
IDEALTRIX	29359	12,78	5
IDEALTRIX	29373	7,14	25
IDEALTRIX	30255	25,28	6
IDEALTRIX	53481	65	15
IDEALTRIX	75002	25	3
IDEALTRIX	75003	20	10
IDEALTRIX	100601	19,9	3
IDEALTRIX	100640	45	3
IDEALTRIX	100643	20	3
IDEALTRIX	100644	49,9	13
IDEALTRIX	100648	39,9	5
IDEALTRIX	100652	80	11
IDEALTRIX	100654	75	14
IDEALTRIX	100655	69,9	13
IDEALTRIX	100661	28	11
IDEALTRIX	320065	55	5
IDEALTRIX	320201	1000000000	6
IDEALTRIX	320256	35	4
IDEALTRIX	320355	29,9	6
IDEALTRIX	320386	75	7
IDEALTRIX	320669	49,9	6
IDEALTRIX	320966	110	6
IDEALTRIX	321192	39,9	6
IDEALTRIX	321352	110	6
IDEALTRIX	321499	29,9	3
IDEALTRIX	321536	75	4
IDEALTRIX	321611	135	6
IDEALTRIX	321666	135	9
IDEALTRIX	380220	65	40
IDEALTRIX	700523	280	4
IDEALTRIX	700571	45	3
IDEALTRIX	700589	45	4
IDEALTRIX	2005069	3	96
IDEALTRIX	2005111	15	10
IDEALTRIX	2008003	29	19
IDEALTRIX	2008029	55	5
IDEALTRIX	2008045	59,9	4
IDEALTRIX	2008060	30	12
IDEALTRIX	2009006	65	3
IDEALTRIX	2009009	40	10
IDEALTRIX	2009010	35	7
IDEALTRIX	2009012	25	7
IDEALTRIX	2009023	59,9	12
IDEALTRIX	2009033	50	10
IDEALTRIX	2009036	28	9
IDEALTRIX	2009039	35	16
IDEALTRIX	2010026	10	9
IDEALTRIX	2010030	15	10
IDEALTRIX	2011005	92	6
IDEALTRIX	2011040	38	8
IDEALTRIX	2011044	25	3
IDEALTRIX	2011045	58	4
IDEALTRIX	2011057	45	6
IDEALTRIX	2011090	52	12
IDEALTRIX	2018010	58	11
IDEALTRIX	2018016	135	6
IDEALTRIX	2018020	135	4
IDEALTRIX	2023003	49	9
IDEALTRIX	2026005	50	11
IDEALTRIX	2050038	15	6
IDEALTRIX	2050049	100	12
IDEALTRIX	2050130	70	6
IDEALTRIX	2050171	35	10
IDEALTRIX	2050190	95	4
IDEALTRIX	10300920	35	6
IDEALTRIX	18080002	65	6
IDEALTRIX	18080004	45	11
IDEALTRIX	1037001920	6,5	3
IDEALTRIX	1039018040	5	7
IDEALTRIX	1099010060	15	4
IDEALTRIX	1099024150	10	5
IDEALTRIX	1641120000	15	4
IDEALTRIX	1662035000	1,5	3
IDEALTRIX	1699030000	25	4
IDEALTRIX	1699370400	25	9
IDEALTRIX	1699400230	35	3
IDEALTRIX	2815140225	6,5	30
IDEALTRIX	2815200348	5,5	10
IDEALTRIX	3196130002	5,5	3
IDEALTRIX	3196130003	5	3
IDEALTRIX	3196130010	6	4
IDEALTRIX	3198123400	6,5	3
IDEALTRIX	3593200020	170	11
IDEALTRIX	3599033075	39,9	3
IDEALTRIX	5125040114	28	3
IDEALTRIX	5125200300	28	3
IDEALTRIX	5165200300	13	10
IDEALTRIX	5187105160	19,9	5
IDEALTRIX	5187300000	20	6
IDEALTRIX	5199001300	28,64	3
IDEALTRIX	5199040107	16	3
IDEALTRIX	5199300001	25	12
IDEALTRIX	5199306200	15,5	13
IDEALTRIX	6220000008	130	4
IDEALTRIX	6231000500	10	40
IDEALTRIX	6231001000	12	11
IDEALTRIX	6241610000	3,5	9
IDEALTRIX	6247050006	3,5	3
IDEALTRIX	6247050007	10	3
IDEALTRIX	6247050008	5	3
IDEALTRIX	6247050009	19,9	3
IDEALTRIX	6278350100	18	10
IDEALTRIX	6358005000	35	3
IDEALTRIX	6362000302	14,69	25
IDEALTRIX	6897101235	50	3
IDEALTRIX	7036882200	15	10
IDEALTRIX	7847001657	49,9	3
IDEALTRIX	8055203200	10	5
IDEALTRIX	7898578850157	250,66	3
IDEALTRIX	7898578850423	60	28
IDEALTRIX	7898578850560	83,52	4
IDEALTRIX	7898578851130	64,8	16
IDEALTRIX	7898578851154	38	4
IDEALTRIX	7898578851420	55	11
IDEALTRIX	7898578851437	55	7
IDEALTRIX	7898578851635	39,9	4
IDEALTRIX	7898578851840	55	3
IDEALTRIX	7898578852168	59,9	10
IDEALTRIX	7898578852311	55	6
IDEALTRIX	7898578852328	55	7
IDEALTRIX	7898578852342	35	19
IDEALTRIX	014636-6	19,9	8
IDEALTRIX	015325-7	29,9	10
IDEALTRIX	015326-5	29,9	15
IDEALTRIX	015634-5	22	7
IDEALTRIX	015636-1	20	7
IDEALTRIX	016792-4	20	3
IDEALTRIX	130022-250	16,11	8
IDEALTRIX	160006-5	45	11
IDEALTRIX	160008-5	25	8
IDEALTRIX	160015-5	55	5
IDEALTRIX	160038-500	18	5
IDEALTRIX	160065-1	25	4
IDEALTRIX	31PCN	35	6
IDEALTRIX	340323-02	30	5
IDEALTRIX	5LA0002	15	5
IDEALTRIX	5LV0001	75	5
IDEALTRIX	5SL0001	69,9	10
IDEALTRIX	ACCE95	15	18
IDEALTRIX	ACD5	42,16	3
IDEALTRIX	ACEAC	8	14
IDEALTRIX	ACNC	29,9	4
IDEALTRIX	ADC1LS	15	7
IDEALTRIX	AEPLB	18	4
IDEALTRIX	AEPPCF	18	11
IDEALTRIX	AEPVE	18	9
IDEALTRIX	AFLB500	19,9	13
IDEALTRIX	AG5	55	3
IDEALTRIX	AM0001	20	7
IDEALTRIX	AMBC	48	21
IDEALTRIX	AMBLM	39,9	3
IDEALTRIX	AMRB	15	21
IDEALTRIX	AMRLM	39,9	3
IDEALTRIX	APCON	25	4
