row_number,store_code,id,price,availability,id-bling
2,IDEALTRIX,VIS SLL1,65,,16223972580
3,IDEALTRIX,NOBRE 3E1C02,35,,16223972616
4,IDEALTRIX,LIMP LATI50,180,,16223972668
5,IDEALTRIX,LIMP DASLSC5,69.9,,16223972691
6,IDEALTRIX,LIMP LVB5,35,,16223972714
7,IDEALTRIX,2815200348,5.5,,16223972720
8,IDEALTRIX,2815140225,6.5,,16223972721
9,IDEALTRIX,DEO AEPVE14,35,,16254230718
10,IDEALTRIX,PREM AEPCF01,18,,16223972770
11,IDEALTRIX,PREM AEPCF04,37,,16223972771
12,IDEALTRIX,PRE AEPFC14,15,,16223972773
13,IDEALTRIX,PRE AEPFC4,35,,16223972774
14,IDEALTRIX,PRE AEPLBA14,15,,16254230719
15,IDEALTRIX,PREM AEPLBA04,35,,16223972775
16,IDEALTRIX,PREM AEPVE01,15,,16223972780
17,IDEALTRIX,700571,45,,16223972791
18,IDEALTRIX,VON AI3,1.5,,16223972809
19,IDEALTRIX,6220000008,130,,16223972811
20,IDEALTRIX,22888,39.9,,16223972848
21,IDEALTRIX,ASC02,13.5,,16223972853
22,IDEALTRIX,CXASC05,29.9,,16223972855
23,IDEALTRIX,DBB050,80,,16223972857
24,IDEALTRIX,DEO ACAF5,48,,16223972860
25,IDEALTRIX,DE0 ACD5,49.9,,16254230703
26,IDEALTRIX,DEO ADC5,49.9,,16254230704
27,IDEALTRIX,DEO ADCS1,15,,16223972868
28,IDEALTRIX,AMBC,48,,16223972873
29,IDEALTRIX,ROTT ACP,4.5,,16223972888
30,IDEALTRIX,CRAZ ACS,12,,16223972889
31,IDEALTRIX,CRAZ ACE,12,,16223972928
32,IDEALTRIX,CRAZ ACEA,8,,16223972930
33,IDEALTRIX,GOEC AM2,19.9,,16223972935
34,IDEALTRIX,AMRB,15,,16223972940
35,IDEALTRIX,ZAC AE95,3,,16223993199
36,IDEALTRIX,SOFT AME,15,,16223972948
37,IDEALTRIX,RPE,39.9,,16223972949
38,IDEALTRIX,NOBRE AC02,35,,16223972952
39,IDEALTRIX,CAD AV1,59.9,,16223972982
40,IDEALTRIX,LIMP AF5,60,,16223972991
41,IDEALTRIX,AM0001,20,,16223972992
42,IDEALTRIX,015636-1,20,,16223972993
43,IDEALTRIX,PREM AVCM02,14.9,,16223972994
44,IDEALTRIX,6358005000,35,,16223973022
45,IDEALTRIX,ROT BER0,22,,16223973053
46,IDEALTRIX,ROT BER40,22,,16223973097
47,IDEALTRIX,ROT BER65,22,,16223973098
48,IDEALTRIX,6247050006,3.5,,16223973101
49,IDEALTRIX,BPCPG,6.5,,16223973103
50,IDEALTRIX,CAD BMRP05,55,,16223973107
51,IDEALTRIX,VON BSB05,49.9,,16223973122
52,IDEALTRIX,DEO BSBTF,12,,16223973124
53,IDEALTRIX,LINC BLCL5,59,,16223973139
54,IDEALTRIX,LINC BLCM5,59,,16223973141
55,IDEALTRIX,LIN  B5PPCPI,79.9,,16223973288
56,IDEALTRIX,LIN B6PPCPLV,60,,16223973290
57,IDEALTRIX,EASY BEA5,65,,16223973167
