ATUALIZAR 																																										
ID	C?digo (SKU)	Descri??o	Unidade	Classifica??o fiscal	Origem	Pre?o	Valor IPI fixo	Observa??es	Situa??o	Estoque	Pre?o de custo	C?d do Fornecedor	Fornecedor	Localiza??o	Estoque m?ximo	Estoque m?nimo	Peso l?quido (Kg)	Peso bruto (Kg)	GTIN/EAN	GTIN/EAN tribut?vel	Descri??o complementar	CEST	C?digo de Enquadramento IPI	Formato embalagem	Largura embalagem	Altura embalagem	Comprimento embalagem	Di?metro embalagem	Tipo do produto	URL imagem 1	URL imagem 2	URL imagem 3	URL imagem 4	URL imagem 5	URL imagem 6	Categoria	C?digo do pai	Varia??es	Marca	Garantia	Sob encomenda	Pre?o promocional
670679421	10112	EXPOSITOR PARA OCULOS ACRILICO P/ 4 OCULOS | 10112	UN	8712.00.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	25	0		Ativo	1	14.99	100112	J R DA SILVA BICICLETAS		0	0	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/e89f7636904c21f35ef86284f7cc2bbc.webp						Ferramentas e Manuten??o > Outros			Importado		N?o	0
617141363	GE235	GANCHEIRA FIRST/ KODE/ TRINX | GE235	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	31	0		Ativo	0	17				0	0	0	0	7908203400340		<p>COMPAT?VEL COM QUADROS:</p> <p>FIRST WILLIX</p> <p>KODE TOP 2</p> <p>TRINX 27,5</p> <p>REF. 10235</p> <p> </p> <p>PARAFUSO: TORQUE M?XIMO RECOMENDADO 1.5 N.m</p> <p>RECOMENDAMOS MONTAGEM POR MEC?NICO ESPECIALIZADO</p>			Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/873964e8468f0f7c85b31a39fe90da8d.jpg						Pe?as e Componentes > Gancheiras			GANTECH		N?o	0
620870483	GE011	GANCHEIRA GIANT ATX/ TOTEM ENVOY/ TSW NEW HUNTER/ STORM 2012 | GE011	Un	7318.13.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	31	0		Ativo	9	12.5	100868			9	2	0	0	7899776990348		<p>COMPAT?VEL COM QUADROS:</p> <p>TSW NEW HUNTER, STORM 2012</p> <p>GIANT ATX - XTC TEAM</p> <p>GIANT SEDONA W</p> <p>GIANT YUKON FX - (2008 ? 2013)</p> <p>KONA FIRE MOUNTAIN</p> <p>TOTEM ENVOY</p> <p>TRUST RAPTOR</p>			Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/265141a995c1f0bffb2e3ed2725f3882.jpg	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/98482282a46d44982cb767d04427beec.jpg					Pe?as e Componentes > Gancheiras			RONTEK		N?o	0
619336607	G002	GANCHEIRA MERIDA BIG NINE/ KHS | G002	Un	7318.13.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	31	0		Ativo	4	12.5				4	2	0	0	7908203403976					Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/f0bc23bae94026ba795376a00141c90f.jpg						Pe?as e Componentes > Gancheiras			RONTEK		N?o	0
615376024	GE261	GANCHEIRA OGGI BIG WHEEL 7.2/ 7.3/ 7.4/ SOUL 929/ OGGI BIGWHELL/ L?TUS | GE261	Un	8714.99.90	0 - Nacional, exceto as indicadas nos c?digos 3 a 5	31	0		Ativo	5	0				0	1	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/d648277e36b8871691be74d6027144bb.jpg						Pe?as e Componentes > Gancheiras			GANTECH		N?o	0
619314934	G329	GANCHEIRA ORBEA ALMA | G329	Un	7318.13.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	49	0		Ativo	2	29				4	1	0	0	7908203403792					Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/8dc9ec0e1c524d00a3aed41ed93d5d1e.jpg						Pe?as e Componentes > Gancheiras			GANTECH		N?o	0
619306237	G058	GANCHEIRA SCOTT SPARK | G058	Un	7318.13.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	49	0		Ativo	2	29				4	1	0	0	7908203401354					Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/b6fdaf924664e9dc7518f2716e2a327c.jpg						Pe?as e Componentes > Gancheiras			GANTECH		N?o	0
620741247	GE335	GANCHEIRA SENSE GROM 24 | GE335	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	45	0		Ativo	2	26.9	10335			2	1	0	0	7908203404119		<p>COMPAT?VEL COM O QUADRO:</p> <p>SENSE GROM 24</p> <p>REF. 10335</p> <p> </p>			Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/6e12bb31ee952f452820df8780494847.jpg						Pe?as e Componentes > Gancheiras			GANTECH		N?o	0
619339391	A002	Prolongador Compat?vel Shimano 10V para uso de Cogs de 40D a 50D | A002	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	49	0		Ativo	5	0				5	2	0	0	7908203400395					Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/ef8a1e77c12fcba93c51f8682139213d.jpg						Pe?as e Componentes > Gancheiras			GANTECH		N?o	0
619321669	G080	- GANCHEIRA CORRATEC CCT TEAM / CALOI SPEED CARBON / OGGI CADENZA | G080	Un	7318.13.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	48	0		Ativo	1	29				3	1	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/0593d969aaa2da97b94dcac8eeac87a9.jpg						Pe?as e Componentes > Gancheiras			GANTECH		N?o	0
592036186	901269	.REGULADOR DE STI GTS | 901269	Un	8714.99.90	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	5	0	;	Ativo	3	3				0	0	0	0							0	0	0	0	S							Pe?as e Componentes > Freios			GTS		N?o	0
592033668	1095	ABRA?ADEIRA DE ALAVANCA DE TORPEDO | 001095	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	3	0	W SUL 01/20;cairu 02/21;	Ativo	0	0.52				0	2	0	0	7908304802111		<p>ABRA?ADEIRA CONTRA PEDAL COM PARAFUSO - VELO </p>			Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/21400677a7922a1343aeb63b7b2cfe42.jpg						Pe?as e Componentes > Torpedo/Contra pedal			UNICICLE		N?o	0
592036055	901222	ABRA?ADEIRA DE CAMBIO SPEED 31,8MM | 901222	Un	8714.91.00	2 - Estrangeira - Adquirida no mercado interno, exceto a indicada no c?digo 7	49	0	;	Ativo	1	10				0	0	0	0						Pacote / Caixa	0	0	0	0	S	https://anexos.tiny.com.br/erp/NTY5MTc1MzA4/60fecdaafe7d295d74ac72e663b89d02.jpeg						Pe?as e Componentes > Abra?adeiras			TAIWAN		N?o	0
